"GEOGRAPHY_CODE"	"OBS_VALUE"
"E01000908"	1.7
"E01000909"	11.7
"E01000910"	6.7
"E01000911"	1.5
"E01000912"	1.0
"E01000913"	27.1
"E01000914"	0.3
"E01000915"	0.5
"E01000916"	0.2
"E01000917"	0.3
"E01000918"	0.1
"E01000919"	0.4
"E01000920"	0.6
"E01000921"	0.7
"E01000922"	1.2
"E01000923"	0.8
"E01000924"	1.3
"E01000925"	0.3
"E01000926"	0.7
"E01000927"	1.2
"E01000928"	1.6
"E01000929"	1.0
"E01000930"	0.3
"E01000931"	0.9
"E01000932"	0.7
"E01000933"	1.8
"E01000934"	0.7
"E01000935"	0.5
"E01000936"	2.0
"E01000937"	1.1
"E01000938"	1.6
"E01000939"	0.4
"E01000940"	1.2
"E01000941"	0.4
"E01000942"	0.0
"E01000943"	0.4
"E01000944"	0.6
"E01000945"	0.3
"E01000946"	0.5
"E01000947"	1.1
"E01000948"	2.4
"E01000949"	0.1
"E01000950"	0.7
"E01000951"	0.5
"E01000952"	0.4
"E01000953"	1.1
"E01000954"	0.9
"E01000955"	1.1
"E01000956"	0.3
"E01000957"	0.5
"E01000958"	0.6
"E01000959"	0.1
"E01000960"	0.6
"E01000961"	0.4
"E01000962"	0.9
"E01000963"	3.3
"E01000964"	0.8
"E01000965"	3.2
"E01000966"	3.1
"E01000967"	9.6
"E01000968"	1.9
"E01000969"	2.8
"E01000970"	0.3
"E01000971"	0.4
"E01000972"	1.0
"E01000973"	1.5
"E01000974"	0.6
"E01000975"	6.3
"E01000976"	2.3
"E01000977"	3.5
"E01000978"	2.9
"E01000979"	2.6
"E01000980"	1.6
"E01000981"	4.0
"E01000982"	2.9
"E01000983"	3.7
"E01000984"	4.5
"E01000985"	5.4
"E01000986"	14.4
"E01000987"	1.3
"E01000989"	12.7
"E01000990"	6.2
"E01000991"	42.6
"E01000992"	2.7
"E01000993"	3.5
"E01000994"	4.2
"E01000995"	4.8
"E01000996"	4.8
"E01000997"	4.9
"E01000998"	2.8
"E01000999"	6.8
